Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,E-mail 2 - Type,E-mail 2 - Value
Aaron Sleicht,Aaron,,Sleicht,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AaronSleicht@selectiva.com,,
Abagail Hazeup,Abagail,,Hazeup,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AbagailHazeup@selectiva.com,,
Abbe Birch,Abbe,,Birch,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Abbe@selectiva.com,,
Abey Kollatsch,Abey,,Kollatsch,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AbeyKollatsch@selectiva.com,,
Abigael Akers,Abigael,,Akers,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AbigaelAkers@selectiva.com,,
Abigale Howitt,Abigale,,Howitt,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Abigale@selectiva.com,,
Abner Mallon,Abner,,Mallon,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AbnerMallon@selectiva.com,,
Abrahan Pashba,Abrahan,,Pashba,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Abrahan@selectiva.com,,
Ad Stayte,Ad,,Stayte,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdStayte@selectiva.com,,
Ada Witul,Ada,,Witul,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdaWitul@selectiva.com,,
Adara Hinken,Adara,,Hinken,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdaraHinken@selectiva.com,,
Addia Apedaile,Addia,,Apedaile,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AddiaApedaile@selectiva.com,,
Adel Pardie,Adel,,Pardie,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdelPardie@selectiva.com,,
Adelaide Merigeau,Adelaide,,Merigeau,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdelaideMerigeau@selectiva.com,,
Adele Askin,Adele,,Askin,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Adele@selectiva.com,,
Adelheid Pane,Adelheid,,Pane,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdelheidPane@selectiva.com,,
Adella Caskey,Adella,,Caskey,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdellaCaskey@selectiva.com,,
Adella Ubanks,Adella,,Ubanks,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdellaUbanks@selectiva.com,,
Adlai Lander,Adlai,,Lander,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Adlai@selectiva.com,,
Adler Finnigan,Adler,,Finnigan,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdlerFinnigan@selectiva.com,,
Adolphe Narramor,Adolphe,,Narramor,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdolpheNarramor@selectiva.com,,
Adriane Czadla,Adriane,,Czadla,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdrianeCzadla@selectiva.com,,
Adrienne Shiliton,Adrienne,,Shiliton,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AdrienneShiliton@selectiva.com,,
Agace Mc Andrew,Agace,,Mc Andrew,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Agace@selectiva.com,,
Agatha Cavee,Agatha,,Cavee,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AgathaCavee@selectiva.com,,
Agnes Clemont,Agnes,,Clemont,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AgnesClemont@selectiva.com,,
Agneta Gilbeart,Agneta,,Gilbeart,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Agneta@selectiva.com,,
Agustin Newell,Agustin,,Newell,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AgustinNewell@selectiva.com,,
Agustin Pumphrey,Agustin,,Pumphrey,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AgustinPumphrey@selectiva.com,,
Aharon Straw,Aharon,,Straw,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Aharon@selectiva.com,,
Aidan Newlands,Aidan,,Newlands,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AidanNewlands@selectiva.com,,
Aigneis Blowes,Aigneis,,Blowes,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AigneisBlowes@selectiva.com,,
Aigneis Tonn,Aigneis,,Tonn,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AigneisTonn@selectiva.com,,
Ailene Lowndsborough,Ailene,,Lowndsborough,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AileneLowndsborough@selectiva.com,,
Ailey Sabbatier,Ailey,,Sabbatier,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AileySabbatier@selectiva.com,,
Ailis Prewett,Ailis,,Prewett,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AilisPrewett@selectiva.com,,
Ailsun Colisbe,Ailsun,,Colisbe,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AilsunColisbe@selectiva.com,,
Ainsley Cyples,Ainsley,,Cyples,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Ainsley@selectiva.com,,
Ajay Causey,Ajay,,Causey,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Ajay@selectiva.com,,
Ajay McEnhill,Ajay,,McEnhill,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AjayMcEnhill@selectiva.com,,
Aksel Leyson,Aksel,,Leyson,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AkselLeyson@selectiva.com,,
Alair Lancashire,Alair,,Lancashire,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Alair@selectiva.com,,
Alanah Garrigan,Alanah,,Garrigan,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlanahGarrigan@selectiva.com,,
Alanson Kleinschmidt,Alanson,,Kleinschmidt,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlansonKleinschmidt@selectiva.com,,
Alaric Wennington,Alaric,,Wennington,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlaricWennington@selectiva.com,,
Aldin Rosas,Aldin,,Rosas,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AldinRosas@selectiva.com,,
Aldwin Meah,Aldwin,,Meah,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AldwinMeah@selectiva.com,,
Aldwin Stocker,Aldwin,,Stocker,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AldwinStocker@selectiva.com,,
Aleen Barabisch,Aleen,,Barabisch,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AleenBarabisch@selectiva.com,,
Aleksandr Lorenzetto,Aleksandr,,Lorenzetto,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Aleksandr@selectiva.com,,
Alex Hallows,Alex,,Hallows,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlexHallows@selectiva.com,,
Alexandro Alessandone,Alexandro,,Alessandone,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlexandroAlessandone@selectiva.com,,
Alexei Santorini,Alexei,,Santorini,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlexeiSantorini@selectiva.com,,
Alexia Rossbrooke,Alexia,,Rossbrooke,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Alexia@selectiva.com,,
Alick Teager,Alick,,Teager,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlickTeager@selectiva.com,,
Alie Blackburne,Alie,,Blackburne,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlieBlackburne@selectiva.com,,
Alika Capstack,Alika,,Capstack,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlikaCapstack@selectiva.com,,
Alisa Eddolls,Alisa,,Eddolls,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlisaEddolls@selectiva.com,,
Alisa Wallbridge,Alisa,,Wallbridge,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlisaWallbridge@selectiva.com,,
Alisha Meeron,Alisha,,Meeron,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Alisha@selectiva.com,,
Alison Wilcox,Alison,,Wilcox,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Alison@selectiva.com,,
Alister Calafato,Alister,,Calafato,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlisterCalafato@selectiva.com,,
